City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current description
280,Kavieng,-2.57,150.8,83.37,71,11,5.99,PG,few clouds
281,La Asuncion,11.03,-63.86,80.22,78,0,14.83,VE,clear sky
282,Bambous Virieux,-20.34,57.76,75.2,83,75,11.41,MU,shower rain
283,Murdochville,48.96,-65.5,26.6,73,96,12.75,CA,overcast clouds
284,Nabire,-3.37,135.48,76.93,87,100,3.4,ID,overcast clouds
285,Talnakh,69.49,88.4,-2.2,84,100,31.32,RU,light snow
286,Bathsheba,13.22,-59.52,84.2,70,40,12.75,BB,scattered clouds
287,Gorontalo,0.54,123.06,75.49,87,100,2.51,ID,overcast clouds
288,Bialystok,53.13,23.15,30.0,89,100,5.01,PL,light snow
289,Loandjili,-4.76,11.86,78.8,94,75,5.82,CG,broken clouds
290,Ponta Delgada,37.73,-25.67,60.8,93,75,14.99,PT,light rain
291,Hamilton,39.18,-84.53,61.0,63,40,16.11,US,scattered clouds
292,Sao Joao Dos Patos,-6.5,-43.7,79.7,55,0,1.28,BR,clear sky
293,Arraial Do Cabo,-22.97,-42.03,80.6,88,75,13.87,BR,broken clouds
294,Kaitangata,-46.28,169.85,53.01,53,100,23.0,NZ,overcast clouds
295,Laem Sing,12.48,102.07,75.99,10,99,4.05,TH,overcast clouds
296,Terrasini,38.15,13.08,60.8,72,75,16.11,IT,broken clouds
297,Finschhafen,-6.6,147.87,82.11,72,95,5.26,PG,overcast clouds
298,Mosquera,4.71,-74.23,64.4,59,40,9.17,CO,scattered clouds
299,Clyde River,70.47,-68.59,6.8,92,90,17.22,CA,light snow
300,Arco,45.92,10.89,39.99,96,100,3.02,IT,overcast clouds
301,Zdvinsk,54.7,78.66,4.86,94,96,9.86,RU,overcast clouds
302,Alikovo,55.74,46.75,8.6,92,90,6.71,RU,mist
303,Oneida,43.2,-75.47,46.4,70,40,9.17,US,scattered clouds
304,Road Town,18.42,-64.62,82.4,74,20,8.05,VG,few clouds
