City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
1476,Banjar,ID,78.8,scattered clouds,-8.19,114.97,The Hamsa Resort
1477,Kokopo,PG,77.52,scattered clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
1479,Benjamin Constant,BR,78.8,broken clouds,-4.38,-70.03,CASA AVALIADA
1482,Las Lomas,PA,86.0,few clouds,8.43,-82.4,Hotel Castilla
1490,Bawku,GH,80.24,clear sky,11.06,-0.24,Ultimate Guest House
1495,Banda Aceh,ID,77.86,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
1496,Batouri,CM,76.33,clear sky,4.43,14.37,Hotel Hollywood
1501,Balikpapan,ID,75.52,overcast clouds,-1.27,116.83,Grand Jatra Hotel Balikpapan
1502,Tarauaca,BR,87.48,scattered clouds,-8.16,-70.77,Flat Temporada
1503,Oranjestad,AW,84.2,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
1505,Chiredzi,ZW,78.73,clear sky,-21.05,31.67,The Nesbitt Arms
1507,Gayeri,BF,81.16,clear sky,12.65,0.49,
1511,El Alto,PE,82.4,clear sky,-4.27,-81.21,Black Marlin Lodge & Restaurant
1517,Kampot,KH,75.2,scattered clouds,10.62,104.18,Champa Lodge
1526,El Carmen,CO,81.45,overcast clouds,8.51,-73.45,La Casona
1528,Kanniyakumari,IN,78.06,scattered clouds,8.08,77.57,Sparsa
1531,Kieta,PG,79.92,few clouds,-6.22,155.63,
1534,Sao Joao Nepomuceno,BR,78.01,moderate rain,-21.54,-43.01,Rua Dr. Fortes Bustamante 95 centro
1536,Barra Do Corda,BR,88.23,clear sky,-5.5,-45.25,Belchior Palace Hotel
1537,Gamba,GA,78.22,light rain,-2.65,10.0,
1540,Aiquile,BO,81.09,broken clouds,-18.2,-65.18,Hotel Santa Ana
1543,Hukuntsi,BW,77.99,clear sky,-24.0,21.75,Entabeni Hotel
1548,Srivardhan,IN,79.68,overcast clouds,18.03,73.02,Savli Resort/Hotel - Shrivardhan
1549,Santa Rita,BR,84.2,few clouds,-7.11,-34.98,Infinity Motel
1550,Sao Jose Da Coroa Grande,BR,79.32,clear sky,-8.9,-35.15,Crôa Mares Hotel
1552,Phuket,TH,77.0,few clouds,8.0,98.25,The Surin Phuket
1556,Siguiri,GN,78.76,clear sky,11.67,-9.5,
1559,Dosso,NE,77.31,clear sky,13.05,3.19,Hotel Toubal
1569,Aripuana,BR,82.87,light rain,-9.17,-60.63,
1570,Pedasi,PA,82.9,overcast clouds,7.53,-80.03,Selina Pedasi
1572,Tual,ID,84.18,broken clouds,-5.67,132.75,Grand Vilia Hotel
1573,Concepcion Del Uruguay,AR,84.29,heavy intensity rain,-32.48,-58.24,Aires del Campo Cabañas y Hotel
1575,La Orilla,MX,82.26,overcast clouds,17.98,-102.23,Baymont by Wyndham Lazaro Cardenas
1578,Ligayan,PH,83.01,moderate rain,4.65,119.47,
1584,Davila,PH,77.49,broken clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
1585,Balabac,PH,81.57,overcast clouds,7.99,117.06,Sing and Swing Lodge
1597,Chake Chake,TZ,79.11,overcast clouds,-5.25,39.77,Hotel Archipelago
1605,Diffa,NE,77.92,clear sky,13.32,12.61,ProDAF/Diffa
1609,Nsanje,MW,77.43,broken clouds,-16.92,35.26,Nsanje Discovery Lodge
1611,Oussouye,SN,80.6,clear sky,12.48,-16.55,Auberge du Routard
1613,Foso,GH,75.74,light rain,5.7,-1.29,Pristina Cottage
1616,Santa Luzia,BR,86.0,light rain,-19.77,-43.85,Pousada Chao Earth
1621,Kudahuvadhoo,MV,82.6,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
1622,Maputo,MZ,79.0,scattered clouds,-25.97,32.59,Pestana Rovuma
1623,Cravo Norte,CO,86.11,few clouds,6.3,-70.2,Hotel El Puerto
1630,Coahuayana,MX,87.82,few clouds,18.73,-103.68,Hotel Los Arcos
1635,Sawakin,SD,78.04,scattered clouds,19.11,37.33,فندق الدويم
1639,Sayaxche,GT,83.82,scattered clouds,16.52,-90.17,GAMER MAN Jimenes
1646,Kuchinarai,TH,78.01,few clouds,16.54,104.05,โรงแรมแสงชัย
1649,Champerico,GT,89.6,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
1651,Sungairaya,ID,78.12,light rain,0.7,108.9,Mess P.Milu
1655,Kandrian,PG,78.64,light rain,-6.22,149.55,Kandrian Station
1656,Butterworth,MY,77.0,scattered clouds,5.4,100.36,Cititel Penang
1657,Ati,TD,83.55,clear sky,13.22,18.34,
1658,Savalou,BJ,85.51,scattered clouds,7.93,1.98,Hotel F&F
1666,Jizan,SA,82.4,few clouds,17.33,42.67,شهدان. ابوالحجر
1667,Zaria,NG,76.77,clear sky,11.11,7.72,A.B.U Hotels
1670,Naifaru,MV,81.46,overcast clouds,5.44,73.37,Naifaru Residence Guest House
1674,Savannah Bight,HN,82.99,clear sky,16.45,-85.85,Villa on Dunbar Rock
1676,Matola,MZ,79.0,scattered clouds,-25.96,32.46,Guesthouse Yuba
1679,Presidente Olegario,BR,77.0,overcast clouds,-18.42,-46.42,Cruzeiro Hotel
1689,Camaqua,BR,80.51,broken clouds,-30.85,-51.81,Bartz Hotel
1690,Bassar,TG,82.2,clear sky,9.25,0.78,Famille Bidjomambe 1juin
1697,Presidente Epitacio,BR,88.43,broken clouds,-21.76,-52.12,Hotel Itaverá
1700,Orodara,BF,86.0,clear sky,10.95,-4.93,Bkf Orodara
1701,Chambas,CU,84.2,scattered clouds,22.19,-78.91,
